action	reward
0	0.4517358395198501
0	0.7282185499715743
0	0.5562155247819858
0	1.91741205315815
0	0.7477355080580075
0	0.4278382760328514
0	0.9964587711449545
0	1.8860040656275558
0	0.927278116497231
0	0.9794781771790674
0	0.0
0	1.1261896568270617
0	2.5442033938273787
0	0.8845758639718545
0	0.0
0	0.39526372522466047
0	0.5082705441817388
0	0.8751036965434973
0	0.0
0	0.0
0	0.6769436626325371
0	0.0
0	0.6033681870840109
0	0.8229257364346219
0	0.7251285317602412
0	0.0
0	0.8335273009973
0	0.9903435790910953
0	0.0
0	0.4833200602071801
0	0.0
0	0.5340511083986452
0	0.17015359923172835
0	0.09249633802045565
0	0.3553124364094433
0	0.0
0	0.06486611379533191
0	0.4162045812006284
0	0.3700179267946597
0	0.0
0	0.0
0	0.32314275079829446
0	2.702262534069797
0	1.5539624160804966
0	1.399373381396103
0	0.18898645456123375
0	0.0
0	0.3713314081308058
0	0.041169698844275016
0	0.0
0	0.0
0	0.8054244683029561
0	0.7415762874032493
0	0.14891684213322387
0	0.5807429078526918
0	0.0
0	0.0
0	0.0
0	0.0
0	0.08739294046036972
0	1.6852976323756539
0	0.0
0	1.7542156255370611
0	0.8080467874411827
0	0.0
0	0.0
0	0.8761860620165371
0	0.3540568410825252
0	1.5907563790696733
0	2.0861414899586608
0	0.2695186352818234
0	0.2849376992567658
0	0.8487993081100342
0	0.7188658544561977
0	0.0
0	0.22610798328398674
0	0.3266424668578929
0	1.206651808489852
0	0.4314478987927922
0	1.753658013586059
0	0.7323327927374764
0	0.5520405402968722
0	0.0
0	0.24736564674355543
0	0.0
0	0.0
0	0.0
0	1.9240476346017499
0	0.34119620325308164
0	0.7590841525983928
0	0.0
0	0.0
0	1.7564773736770114
0	0.0
0	1.9702079246754394
0	0.09912762375845685
0	0.0758959691166935
0	0.501031073744991
0	0.4658270830875194
0	0.7198211761568608
0	0.43067559067433214
0	0.37046713058193725
0	0.0
0	0.6423936694168091
0	0.25733763745863136
0	0.48863376179959794
1	0.10836068675490251
0	0.4644734745907886
0	0.0
0	0.0
1	0.34104578536768293
0	0.0
0	2.2594245811832527
0	0.13703563803468544
0	0.0
0	0.0
1	0.5641581737420369
0	0.9610563557756333
0	0.6072576964602266
0	0.6279242357005181
0	0.2895087178670549
0	0.3468805758640028
1	0.06948682020624186
